;title;text;label
0;Sanders back in U.S. Senate
113;Uganda parliament debate on presidential age cap halted as scuffles break out;KAMPALA (Reuters) - Uganda s parliament abruptly adjourned a debate on Tuesday over extending President Yoweri Museveni s decades in power after a lawmaker said soldiers had entered the building and members of parliament scuffled with police.  There were so many (soldiers)
114; Crying Girl Is Convinced Trump Will Deport Her Family After She Gets Wisdom Teeth Pulled (VIDEO);A father decided to record his daughter after she got her wisdom teeth removed and probably got a more interesting response than he bargained for. In a video that is making the rounds on social media
115;Hamas will reverse Trump's Jerusalem move
116;Hawaii judge halts Trump's new travel ban before it can go into effect;HONOLULU/NEW YORK (Reuters) - Just hours before President Donald Trump’s revised travel ban was set to go into effect
117;White House: Puerto Rico debt crisis could hamper Zika response;WASHINGTON (Reuters) - The White House said on Monday it was concerned the debt crisis confronting Puerto Rico could hamper its ability to deal with the potential public health crisis caused by the spread of the Zika virus
118;Congress approves permanent Internet access tax ban;WASHINGTON (Reuters) - The U.S. Senate on Thursday passed legislation placing a permanent ban on states’ taxing Internet access
119;France puts suspected militant under investigation for kidnapping journalists;PARIS (Reuters) - A suspected Islamist militant accused of killing four in a 2014 attack on a Jewish museum in Belgium was placed under former investigation in France on Wednesday for allegedly kidnapping four French journalists in Syria. Mehdi Nemmouche was briefly transferred to Paris from a jail cell in Belgium
120; Trump Bucks GOP Leadership Again
121;Powerful Afghan regional leader ousted as political picture clouds;KABUL (Reuters) - One of Afghanistan s most powerful regional politicians was ousted as governor of the northern province of Balkh on Monday
122;MSNBC’S CHRIS MATTHEWS DEFENDS VA SHOOTER: “He did understand inequality” [Video];Chris Matthews tried his best to create sympathy for the loser who shot random Republicans. Can you believe it? MSNBC host Chris Matthews got political in his defense of Alexandria shooter James T. Hodgkinson:  We don t know what sadness was in this guy s life 
123; Neil DeGrasse Tyson Just Called Trump Supporters Dumb
124; WATCH: Trump Campaign Manager REFUSES To Answer This Simple Birther Question;On Sunday
125;Exiled Egypt presidential hopeful plans return in coming weeks: family;CAIRO (Reuters) - Egyptian President Abdel Fattah al-Sisi s strongest potential challenger in the country s 2018 election plans to return from exile in the coming weeks
126;The New American Century: An Era of Fraud;Paul Craig RobertsIn the last years of the 20th century fraud entered US foreign policy in a new way.  On false pretenses Washington dismantled Yugoslavia and Serbia in order to advance an undeclared agenda. In the 21st century this fraud multiplied many times. Afghanistan
127;TEXAS DAYCARE WORKERS FIRED For Refusing To Call A Little Girl With Two Male Parents A “Boy”;The gay mafia has hijacked pretty much aspect of our lives. They apparently won t be happy until every trace of gender identity has been erased. When will Americans start fighting back? Two daycare workers have been fired for refusing to go along with the center s transgender agenda. Madeline Kirksey
128;PARTY CORRUPTION: Clinton Campaign Directly Tied to Disgraced DNC Consultant;21st Century Wire says A tidal wave of revelations is pouring out of the Clinton campaign as the 2016 presidential election draws to a close.   MELTDOWN    The Clinton campaign continues to unravel following a series of troubling details. (Photo illustration 21WIRE)Over the weekend
129;Exclusive: U.S. suspends aid to Somalia's battered military over graft;NAIROBI (Reuters) - The United States is suspending food and fuel aid for most of Somalia s armed forces over corruption concerns
130; WATCH: Ellen DeGeneres Cleverly Uses ‘Finding Dory’ To Teach Trump That Walls Don’t Work;When Ellen DeGeneres found out that Donald Trump watched Finding Dory as his immigration ban was causing worldwide chaos
131;Zimbabwe's Tsvangirai 'out of danger' in South African hospital;JOHANNESBURG (Reuters) - Zimbabwe opposition leader Morgan Tsvangirai is  out of danger  in hospital in South Africa after being airlifted from Harare at the weekend following the sudden onset of severe vomiting
132;Mexicans dismayed by rise of Trump's border wall;TIJUANA
"133;donald trump kicks off final campaign day with fla rally;""hillary clinton in lead a day before election day  
press tv 
democratic presidential nominee hillary clinton leads her republican rival by three percentage points nationally as they head into the final day of a tight race for the white house according to a new poll 
the final bloomberg politicsselzer  co poll released on monday has clinton ahead of trump  percent to  percent 
libertarian candidate gary johnson was at  percent and green party candidate jill stein had  percent support 
clinton also leads trump by three points in a hypothetical twoway matchup when thirdparty candidates are not included 
another tracking poll released early on monday also put clinton in the lead 
the former secretary of state held a fourpoint lead over the billionaire businessman in the latest abc newswashington post poll the survey showed  percent of likely us voters backed clinton while  percent said they supported trump 
the clinton campaign received a late break with fbi director james comey announcing sunday that no criminal charges were forthcoming in the probe of clintons newlyfound emails 
based on our review we have not changed our conclusions that we expressed in july the fbi chief wrote in a new letter to congressional committee chairmen 
the development is a major relief to clinton who is spending the final hours of her campaign trying to close trumps path to presidency donald trump walks off the stage after holding a rally at loudoun fairgrounds in leesburg virginia early in the morning on november   photo by afp 
comey sent the presidential race into a frenzy last month when he sent a letter to congress saying the fbi had discovered emails in a separate probe that could be linked to the investigation into clintons use of a private server when she was secretary of state 
the surprise move infuriated democrats and lifted the presidential hopes of trump who has turned the email controversy into a favorite line of attack against clinton 
still trump continued to seize on the email issue insisting that clinton is guilty 
hillary clinton is guilty she knows it the fbi knows it the people know he said sunday at a rally in detroit michigan and now its up to the american people to deliver justice at the ballot box on november  
both clinton and trump plan to spend the last day of the campaign racing across key battleground states that could determine the results of tuesdays election 
trump will visit florida north carolina pennsylvania and new hampshire and finish the day with a rally in grand rapids michigan 
clinton is travelling to pennsylvania and michigan before closing with a midnightrally in raleigh north carolina"";0"
